,words,cos,id,brand,hash_similarity,match,predicted_match,predicted_scores
1144,0.3333333333333333,0.3458525063817018,0.0,0.0,0.6875,1,0,0.4423910736621132
341,0.0,0.0,0.0,0.0,0.1875,1,0,0.08317512684742814
868,0.3333333333333333,0.2462696856984602,0.0,0.0,0.0625,1,0,0.24163781253900932
216,0.5454545454545454,0.3781228399646978,0.0,0.0,0.25,1,0,0.43016164008683994
1190,0.375,0.199526405945316,0.0,0.0,0.0625,1,0,0.20560169220654792
917,0.3333333333333333,0.1455392466980153,0.0,0.0,0.0625,1,0,0.16357557917994212
1075,0.3333333333333333,0.2858486452626821,0.0,0.0,0.0625,1,0,0.2784985736778021
599,0.5714285714285714,0.555325545408962,0.0,0.0,0.4375,0,1,0.6721726850662644
297,0.5,0.1825311891659405,0.0,0.0,0.0,1,0,0.1944756956195266
921,0.0833333333333333,0.0905472157767625,0.0,0.0,0.1875,1,0,0.12741770206547806
1188,0.375,0.199526405945316,0.0,0.0,0.0625,1,0,0.20560169220654792
1420,1.0,1.0000000000000002,0.0,0.0,0.0,0,1,0.9406661522939671
62,0.6666666666666666,0.4611763569808251,0.0,0.0,0.25,0,1,0.5437329981054437
184,0.125,0.1744182565168963,0.0,0.0,0.0,1,0,0.1641243011638514
911,0.3333333333333333,0.1458991742180307,0.0,0.0,0.0,1,0,0.15801333964457845
666,0.6153846153846154,0.5630401966411835,0.0,0.0,0.0,0,1,0.6163903226121783
1727,1.0,1.0000000000000002,0.0,0.0,0.0,0,1,0.9406661522939671
1017,0.4,0.4461875838629021,0.0,1.0,0.0,1,0,0.2503081362882607
1509,0.3333333333333333,0.4349618651108876,0.0,0.0,0.0,1,0,0.4323458791684489
758,0.7777777777777778,0.6589805717268078,0.0,0.0,0.125,0,1,0.749808350574354
294,0.5,0.1957477206981967,0.0,0.0,0.0,1,0,0.20470570896502793
1033,0.3333333333333333,0.3710495083175786,0.0,0.0,0.0625,1,0,0.36841142505305
103,0.6666666666666666,0.5657742409488715,0.0,0.0,0.0625,0,1,0.6349143177963266
1721,0.75,0.6607277279172508,0.0,0.0,0.0,0,1,0.73257463747954
329,0.5,0.40852100571141,0.0,0.0,0.1875,1,0,0.4508751375184682
1506,0.3333333333333333,0.3599128294284758,0.0,0.0,0.0,1,0,0.3461571559251385
654,0.8888888888888888,0.8017554317039426,0.0,1.0,0.0,0,1,0.6993686848934696
352,0.0,0.0,0.0,0.0,0.1875,1,0,0.08317512684742814
1239,1.0,1.0000000000000002,0.0,0.0,0.0,0,1,0.9406661522939671
94,0.625,0.6459761669579769,0.0,0.0,0.3125,0,1,0.7493771803459107
1332,0.5,0.4780858128572855,0.0,0.0,0.0,0,1,0.5027679909694595
252,0.4444444444444444,0.4385732317050996,0.0,0.0,0.125,1,0,0.47021943950978473
