,words,cos,id,brand,hash_similarity,match,predicted_match,predicted_scores
500,0.6363636363636364,0.4597554013886346,0.0,0.0,0.875,0,1,0.8062314466077745
536,0.6666666666666666,0.4908493650252986,0.0,0.0,0.25,0,1,0.6580475553967824
1015,0.4545454545454545,0.3446087957970015,0.0,1.0,0.0,1,0,0.17225864110087893
969,0.4285714285714285,0.332089263299251,0.0,0.0,0.5625,1,0,0.3335021897851765
300,0.5,0.1825311891659405,0.0,0.0,0.0,1,0,0.10136405725964635
906,0.25,0.1529018996209445,0.0,0.0,0.0,1,0,0.13386209581016398
235,0.0,0.0,0.0,0.0,0.0,1,0,0.1679744010013002
967,0.25,0.1351593860275513,0.0,0.0,0.0625,1,0,0.12051049220762138
405,0.8571428571428571,0.7708581274507357,0.0,0.0,0.0,0,1,0.9096476072565545
1706,0.5,0.4913810310780393,0.0,0.0,0.6875,0,1,0.7739453324800538
1229,0.8,0.6609990818612781,0.0,0.0,0.0,0,1,0.8739343076866806
1665,0.2857142857142857,0.1855102513492953,0.0,0.0,0.0,1,0,0.1422274740677001
987,0.125,0.2144392237996479,0.0,0.0,0.5625,1,0,0.2418730886507194
1003,0.4,0.3821053592894612,0.0,0.0,0.375,1,0,0.4207829897512872
911,0.3333333333333333,0.1458991742180307,0.0,0.0,0.0,1,0,0.10650240363124959
1144,0.3333333333333333,0.3458525063817018,0.0,0.0,0.6875,1,0,0.43978577245234357
1382,0.7142857142857143,0.566885145564101,0.0,0.0,0.0,0,1,0.7861327742672668
9,0.8,0.5404253926141439,0.0,0.0,0.3125,0,1,0.7775125838282934
1153,0.5454545454545454,0.5585253106572509,0.0,1.0,0.25,1,0,0.2733457645062266
1122,0.375,0.2799396732390524,0.0,0.0,0.0625,1,0,0.2043358163291177
471,0.7142857142857143,0.6323626796485826,0.0,0.0,0.125,0,1,0.8737010863645245
1203,0.4285714285714285,0.4014495035894614,0.0,0.0,0.4375,1,0,0.4761312675574851
1049,0.6666666666666666,0.3753419604463182,0.0,0.0,0.0625,1,0,0.3676419151656076
1233,1.0,1.0,0.0,0.0,0.0,0,1,0.8706694830463876
1667,0.2857142857142857,0.1855102513492953,0.0,0.0,0.0,1,0,0.1422274740677001
1449,0.6666666666666666,0.5211840903117452,0.0,0.0,0.0,0,1,0.7082574059887953
1064,0.6666666666666666,0.3753419604463182,0.0,0.0,0.0625,1,0,0.3676419151656076
20,0.6363636363636364,0.571100077274705,0.0,0.0,0.0625,0,1,0.8070954171670007
1146,0.3333333333333333,0.3774642499669215,0.0,0.0,0.0,1,0,0.43369039646855706
1259,1.0,0.8881436818779986,0.0,0.0,0.0,0,1,0.8841071798282435
186,0.125,0.1349794959109834,0.0,0.0,0.0,1,0,0.17075390938899
190,0.2,0.1136213542963381,0.0,0.0,0.0,1,0,0.13211893489586085
1211,0.6666666666666666,0.5538345470522216,0.0,0.0,0.0,0,1,0.7685478437341196
1775,0.6153846153846154,0.5459733609290947,0.0,0.0,0.375,0,1,0.7956347487568847
1745,0.8,0.6331040320432417,0.0,0.0,0.0,0,1,0.854193506133491
921,0.0833333333333333,0.0905472157767625,0.0,0.0,0.1875,1,0,0.1601966325853397
960,0.4285714285714285,0.3902710728291465,0.0,0.0,0.0,1,0,0.4180471294302392
1628,0.3333333333333333,0.3180870383815637,0.0,0.0,0.0,1,0,0.2929724251669711
938,0.0769230769230769,0.0319056008614224,0.0,0.0,0.0625,1,0,0.1478872644115687
1707,0.5,0.4292256633060139,0.0,0.0,0.625,0,1,0.6116589058097158
1129,0.6363636363636364,0.5194436566585515,0.0,1.0,0.0,1,0,0.22468852998709138
436,0.6428571428571429,0.5706820209675368,0.0,0.0,0.4375,0,1,0.8389421329120912
870,0.3333333333333333,0.2462696856984602,0.0,0.0,0.0625,1,0,0.17628129306591767
603,0.75,0.4693339179408149,0.0,0.0,0.125,0,1,0.6208075251484727
336,0.0,0.0,0.0,0.0,0.125,1,0,0.16793481078456426
546,0.5714285714285714,0.4371528441086766,0.0,0.0,0.125,0,1,0.5079171238767453
953,0.3333333333333333,0.2539300032678581,0.0,0.0,0.125,1,0,0.18161122988011172
166,0.7142857142857143,0.560877371509687,0.0,0.0,0.0,0,1,0.777269688110419
294,0.5,0.1957477206981967,0.0,0.0,0.0,1,0,0.10834899212108262
1725,0.5,0.4827311560029735,0.0,0.0,0.0,0,1,0.6469541097519261
1034,0.3333333333333333,0.3710495083175786,0.0,0.0,0.0625,1,0,0.41920201014681896
523,0.5,0.4669226112475882,0.0,0.0,0.125,0,1,0.6145905091653653
1606,0.3333333333333333,0.3180870383815637,0.0,0.0,0.0,1,0,0.2929724251669711
952,0.3333333333333333,0.2539300032678581,0.0,0.0,0.125,1,0,0.18161122988011172
1738,0.6666666666666666,0.6017701867659937,0.0,0.0,0.375,0,1,0.8672920514900073
865,0.7272727272727273,0.7889260105221398,0.0,1.0,0.0,1,0,0.45888832152201475
922,0.25,0.2158267496324676,0.0,0.0,0.125,1,0,0.17560805911895522
90,0.6666666666666666,0.4841709496924904,0.0,0.0,0.0625,0,1,0.6332098124658692
1721,0.75,0.6607277279172508,0.0,0.0,0.0,0,1,0.8803056747731821
1137,0.2857142857142857,0.2911113612033918,0.0,0.0,0.0625,1,0,0.2657179021080118
652,0.6,0.5292319457803282,0.0,0.0,0.0625,0,1,0.7372937566582872
0,0.3333333333333333,0.4084586695121643,0.0,0.0,0.0,0,1,0.51941395431782
1193,0.2222222222222222,0.0929515506745328,0.0,0.0,0.125,1,0,0.10953772345136678
91,1.0,0.7905367662118223,0.0,0.0,0.0,0,1,0.8847403044274977
324,0.064516129032258,0.2032406433607844,0.0,0.0,0.125,1,0,0.2606208569864448
241,0.3333333333333333,0.1498005213196571,0.0,0.0,0.0,1,0,0.10819575097885699
1612,0.3333333333333333,0.3180870383815637,0.0,0.0,0.0,1,0,0.2929724251669711
913,0.3333333333333333,0.1529018996209445,0.0,0.0,0.0,1,0,0.10959507702769691
512,0.75,0.501435599512523,0.0,0.0,0.125,0,1,0.6854516105669534
959,0.4285714285714285,0.3902710728291465,0.0,0.0,0.0,1,0,0.4180471294302392
1074,0.6666666666666666,0.3753419604463182,0.0,0.0,0.0625,1,0,0.3676419151656076
245,0.3,0.1411901193334374,0.0,0.0,0.0,1,0,0.11285062800942545
914,0.2307692307692307,0.1295236088524055,0.0,0.0,0.1875,1,0,0.11729682412507449
1115,0.4285714285714285,0.2799396732390524,0.0,0.0,0.0625,1,0,0.18706212768130895
1196,0.4444444444444444,0.4309091522830103,0.0,1.0,0.875,1,0,0.47005626915224885
1026,0.6666666666666666,0.3869927448226222,0.0,0.0,0.0625,1,0,0.39304931760460843
1448,0.8333333333333334,0.6046955083303094,0.0,0.0,0.0,0,1,0.8302387194599578
1781,0.25,0.3818418981207728,0.0,0.0,0.0,0,1,0.5
118,1.0,0.6962815931474314,0.0,0.0,0.1875,0,1,0.8843330270707278
340,0.0,0.0,0.0,0.0,0.1875,1,0,0.16741015833018166
867,0.3333333333333333,0.2462696856984602,0.0,0.0,0.0625,1,0,0.17628129306591767
1090,0.5,0.3311886838339098,0.0,0.0,0.1875,1,0,0.24813316903554422
1239,1.0,1.0000000000000002,0.0,0.0,0.0,0,1,0.8706694830463847
941,0.5,0.398919789479331,0.0,1.0,0.0625,1,0,0.17747354489953682
