,image1,image2,dist
128,03a_1.jpg,03b_1.jpg,0.84375
129,03a_1.jpg,03b_2.jpg,0.46875
130,03a_1.jpg,03b_3.jpg,0.71875
131,03a_1.jpg,03b_4.jpg,0.75
132,03a_1.jpg,03b_5.jpg,0.375
133,03a_1.jpg,03b_6.jpg,0.4375
134,03a_2.jpg,03b_1.jpg,0.71875
135,03a_2.jpg,03b_2.jpg,0.40625
136,03a_2.jpg,03b_3.jpg,0.875
137,03a_2.jpg,03b_4.jpg,0.78125
138,03a_2.jpg,03b_5.jpg,0.53125
139,03a_2.jpg,03b_6.jpg,0.53125
140,03a_3.jpg,03b_1.jpg,0.6875
141,03a_3.jpg,03b_2.jpg,0.625
142,03a_3.jpg,03b_3.jpg,0.5
143,03a_3.jpg,03b_4.jpg,0.59375
144,03a_3.jpg,03b_5.jpg,0.53125
145,03a_3.jpg,03b_6.jpg,0.53125
146,03a_4.jpg,03b_1.jpg,0.65625
147,03a_4.jpg,03b_2.jpg,0.5
148,03a_4.jpg,03b_3.jpg,0.6875
149,03a_4.jpg,03b_4.jpg,0.9375
150,03a_4.jpg,03b_5.jpg,0.5
151,03a_4.jpg,03b_6.jpg,0.5
152,03a_5.jpg,03b_1.jpg,0.375
153,03a_5.jpg,03b_2.jpg,0.46875
154,03a_5.jpg,03b_3.jpg,0.46875
155,03a_5.jpg,03b_4.jpg,0.40625
156,03a_5.jpg,03b_5.jpg,0.96875
157,03a_5.jpg,03b_6.jpg,0.71875
158,03a_6.jpg,03b_1.jpg,0.40625
159,03a_6.jpg,03b_2.jpg,0.53125
160,03a_6.jpg,03b_3.jpg,0.4375
161,03a_6.jpg,03b_4.jpg,0.40625
162,03a_6.jpg,03b_5.jpg,0.59375
163,03a_6.jpg,03b_6.jpg,0.53125
164,04a_01.jpg,04b_1.jpg,1.0
165,04a_01.jpg,04b_2.jpg,0.59375
166,04a_01.jpg,04b_3.jpg,0.453125
167,04a_01.jpg,04b_4.jpg,0.359375
168,04a_02.jpg,04b_1.jpg,0.453125
169,04a_02.jpg,04b_2.jpg,0.578125
170,04a_02.jpg,04b_3.jpg,1.0
171,04a_02.jpg,04b_4.jpg,0.65625
172,05b_1.jpg,05a_1.jpg,0.71875
173,05b_1.jpg,05a_2.jpg,0.5
174,05b_1.jpg,05a_3.jpg,0.59375
175,05b_1.jpg,05a_4.jpg,0.625
176,05b_1.jpg,05a_5.jpg,0.6875
177,05b_1.jpg,05a_6.jpg,0.4375
178,05b_1.jpg,05a_7.jpg,0.390625
179,05b_1.jpg,05a_8.jpg,0.390625
180,06a_1.jpg,06b_1.jpg,0.59375
181,06a_1.jpg,06b_2.jpg,0.71875
182,06a_1.jpg,06b_3.jpg,0.6875
183,06a_1.jpg,06b_4.jpg,0.578125
184,06a_1.jpg,06b_5.jpg,0.640625
185,06a_1.jpg,06b_6.jpg,0.5625
186,06a_1.jpg,06b_7.jpg,0.65625
187,06a_1.jpg,06b_8.jpg,0.5625
188,06a_1.jpg,06b_9.jpg,0.59375
189,06a_2.jpg,06b_1.jpg,0.5625
190,06a_2.jpg,06b_2.jpg,0.53125
191,06a_2.jpg,06b_3.jpg,0.90625
192,06a_2.jpg,06b_4.jpg,0.546875
193,06a_2.jpg,06b_5.jpg,0.703125
194,06a_2.jpg,06b_6.jpg,0.65625
195,06a_2.jpg,06b_7.jpg,0.75
196,06a_2.jpg,06b_8.jpg,0.6875
197,06a_2.jpg,06b_9.jpg,0.71875
198,06a_3.jpg,06b_1.jpg,0.9375
199,06a_3.jpg,06b_2.jpg,0.5625
200,06a_3.jpg,06b_3.jpg,0.625
201,06a_3.jpg,06b_4.jpg,0.546875
202,06a_3.jpg,06b_5.jpg,0.640625
203,06a_3.jpg,06b_6.jpg,0.75
204,06a_3.jpg,06b_7.jpg,0.65625
205,06a_3.jpg,06b_8.jpg,0.59375
206,06a_3.jpg,06b_9.jpg,0.625
207,06a_4.jpg,06b_1.jpg,0.65625
208,06a_4.jpg,06b_2.jpg,0.5
209,06a_4.jpg,06b_3.jpg,0.625
210,06a_4.jpg,06b_4.jpg,0.859375
211,06a_4.jpg,06b_5.jpg,0.828125
212,06a_4.jpg,06b_6.jpg,0.75
213,06a_4.jpg,06b_7.jpg,0.46875
214,06a_4.jpg,06b_8.jpg,0.53125
215,06a_4.jpg,06b_9.jpg,0.65625
216,06a_5.jpg,06b_1.jpg,0.71875
217,06a_5.jpg,06b_2.jpg,0.5625
218,06a_5.jpg,06b_3.jpg,0.71875
219,06a_5.jpg,06b_4.jpg,0.703125
220,06a_5.jpg,06b_5.jpg,0.828125
221,06a_5.jpg,06b_6.jpg,0.8125
222,06a_5.jpg,06b_7.jpg,0.625
223,06a_5.jpg,06b_8.jpg,0.46875
224,06a_5.jpg,06b_9.jpg,0.625
225,06a_6.jpg,06b_1.jpg,0.75
226,06a_6.jpg,06b_2.jpg,0.5625
227,06a_6.jpg,06b_3.jpg,0.71875
228,06a_6.jpg,06b_4.jpg,0.765625
229,06a_6.jpg,06b_5.jpg,0.828125
230,06a_6.jpg,06b_6.jpg,1.0
231,06a_6.jpg,06b_7.jpg,0.59375
232,06a_6.jpg,06b_8.jpg,0.53125
233,06a_6.jpg,06b_9.jpg,0.625
234,06a_7.jpg,06b_1.jpg,0.625
235,06a_7.jpg,06b_2.jpg,0.46875
236,06a_7.jpg,06b_3.jpg,0.78125
237,06a_7.jpg,06b_4.jpg,0.390625
238,06a_7.jpg,06b_5.jpg,0.578125
239,06a_7.jpg,06b_6.jpg,0.59375
240,06a_7.jpg,06b_7.jpg,1.0
