,mainEntity/name
0,Lenovo IdeaPad 3 15ADA05 Platinum Grey
1,Lenovo ThinkPad E15-IML černá
2,HP Pavilion Gaming 15-ec1004nc
3,Notebook Apple MacBook Pro 13"" M1 512 GB - Space Grey CZ (MYD92CZ/A)
4,ACER A715-41G-R40P
5,Lenovo V15-IIL (82C500KACK)
6,Acer Nitro 5 2020 (AN515-44-R69C) černá
7,ASUS ROG Zephyrus G15 černá
8,Asus Zenbook 14 UX425EA-BM009T Pine Grey celokovový
9,Macbook Air 13"" M1 CZ Zlatý 2020
