,words,cos,id,brand,hash_similarity,match,predicted_match,predicted_scores
512,0.75,0.501435599512523,0.0,0.0,0.125,0,1,0.5635917464275674
1747,0.7777777777777778,0.5799132975281356,0.0,0.0,0.0,0,1,0.5636759754406814
702,0.7142857142857143,0.4068982076418863,0.0,0.0,0.0625,0,1,0.5635917464275674
757,0.5,0.3960433655621114,0.0,0.0,0.6875,0,1,0.5185088293001962
1147,0.5,0.3458525063817018,0.0,0.0,0.6875,1,0,0.37002398081534776
868,0.3333333333333333,0.2462696856984602,0.0,0.0,0.0625,1,0,0.4386059214417424
924,0.4,0.329291512549579,0.0,0.0,0.25,1,0,0.42258261620980403
1449,0.6666666666666666,0.5211840903117452,0.0,0.0,0.0,0,1,0.625944125944126
1508,0.3333333333333333,0.3599128294284758,0.0,0.0,0.0,1,0,0.4748325573797272
1628,0.3333333333333333,0.3180870383815637,0.0,0.0,0.0,1,0,0.4748325573797272
872,0.4285714285714285,0.2462696856984602,0.0,0.0,0.0625,1,0,0.4386059214417424
864,0.625,0.6551873269649873,0.0,0.0,0.0,1,0,0.4674523007856341
189,0.1428571428571428,0.1024729038780985,0.0,0.0,0.0,1,0,0.061872531364238426
918,0.1111111111111111,0.1393878076206711,0.0,0.0,0.0,1,0,0.061872531364238426
1506,0.3333333333333333,0.3599128294284758,0.0,0.0,0.0,1,0,0.4748325573797272
1213,1.0,0.6546900874696129,0.0,0.0,0.0,0,1,0.6372053872053872
213,0.5454545454545454,0.3781228399646978,0.0,0.0,0.25,1,0,0.46154365517084295
1665,0.2857142857142857,0.1855102513492953,0.0,0.0,0.0,1,0,0.1578495403967102
353,0.0,0.0,0.0,0.0,0.0625,1,0,0.03544850439105895
1215,0.6,0.4460968823799671,0.0,0.0,0.0,0,1,0.5501683501683502
1190,0.375,0.199526405945316,0.0,0.0,0.0625,1,0,0.2757271335629545
187,0.125,0.1744182565168963,0.0,0.0,0.0,1,0,0.061872531364238426
1332,0.5,0.4780858128572855,0.0,0.0,0.0,0,1,0.582397718189085
339,0.1111111111111111,0.2704625432818384,0.0,0.0,0.125,1,0,0.18331566644922806
305,0.25,0.1957477206981967,0.0,0.0,0.0,1,0,0.061872531364238426
1387,0.8,0.5730321737416023,0.0,0.0,0.0,0,1,0.5636759754406814
1091,0.625,0.4908502549382312,0.0,0.0,0.1875,1,0,0.48781597065179155
1052,0.5,0.6037234965781549,0.0,0.0,0.25,1,0,0.46154365517084295
294,0.5,0.1957477206981967,0.0,0.0,0.0,1,0,0.1578495403967102
278,0.6666666666666666,0.5620936840314332,0.0,0.0,0.0,1,0,0.4674523007856341
1206,1.0,1.0000000000000002,0.0,0.0,0.0,0,1,0.9464426577972395
787,0.4,0.2848155887972178,0.0,0.0,0.0625,0,1,0.5120487056758934
956,0.3333333333333333,0.2677172421743647,0.0,0.0,0.125,1,0,0.3491398319756529
275,0.6,0.5620936840314332,0.0,0.0,0.0,1,0,0.4674523007856341
244,0.3333333333333333,0.2053634224556723,0.0,0.0,0.0,1,0,0.09549729453382604
1621,0.3333333333333333,0.3180870383815637,0.0,0.0,0.0,1,0,0.4748325573797272
352,0.0,0.0,0.0,0.0,0.1875,1,0,0.07828703703703704
23,0.3,0.559928654302384,0.0,0.0,0.125,0,1,0.6108919687277896
312,0.2352941176470588,0.5369432135725891,0.0,0.0,0.125,1,0,0.3075078433199764
876,0.3333333333333333,0.2462696856984602,0.0,0.0,0.0625,1,0,0.4386059214417424
939,0.375,0.2004778216459598,0.0,0.0,0.0625,1,0,0.2757271335629545
67,0.3333333333333333,0.2868551858654836,0.0,0.0,0.0625,0,1,0.643215201051022
318,0.625,0.5585891487068428,0.0,0.0,0.5625,1,0,0.48781597065179155
1085,0.2727272727272727,0.2545119867427383,0.0,1.0,0.0,1,0,0.2702232777704476
