words,cos,id,brand,hash_similarity,match
0.375,0.461464414498093,0.0,0.0,0.0,0
0.375,0.3776778795972052,0.0,0.0,0.0,0
0.125,0.0222914925238633,0.0,0.0,0.0,0
0.2,0.0961788443802898,0.0,0.0,0.375,0
0.4,0.2667914723988464,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.125,0
0.1111111111111111,0.0496031299460256,0.0,0.0,0.0,0
0.3846153846153846,0.1989852495175775,0.0,0.0,0.1875,0
0.2307692307692307,0.1988031551738778,0.0,0.0,0.125,0
0.8333333333333334,0.5805710504739823,0.0,0.0,0.3125,0
0.1666666666666666,0.0910857879683802,0.0,0.0,0.125,0
0.125,0.2629195143402467,0.0,0.0,0.0,0
0.3333333333333333,0.2213171051548096,0.0,0.0,0.0,0
0.2857142857142857,0.1568137681548479,0.0,0.0,0.125,0
0.2,0.1563836120830261,0.0,0.0,0.0,0
0.125,0.1244703979110468,0.0,0.0,0.0,0
0.3333333333333333,0.1613796104730687,0.0,0.0,0.0,0
0.3333333333333333,0.2224375764083025,0.0,0.0,0.0,0
0.5714285714285714,0.4373819841288357,0.0,0.0,0.0,0
0.4285714285714285,0.3016727540892058,0.0,0.0,0.0625,0
0.6428571428571429,0.5403406880230079,0.0,0.0,0.0625,0
0.2142857142857142,0.2825126030339081,0.0,0.0,0.5,0
0.2857142857142857,0.26561215901434,0.0,0.0,0.375,0
0.3571428571428571,0.6086059160654602,0.0,0.0,0.125,0
0.2142857142857142,0.2407837547826282,0.0,0.0,0.125,0
0.3333333333333333,0.1647467270005036,0.0,0.0,0.0,0
0.1666666666666666,0.1006133148102292,0.0,0.0,0.0625,0
0.5714285714285714,0.5308151594478944,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.2,0.1302199629266286,0.0,0.0,0.125,0
0.2727272727272727,0.2772395453551784,0.0,0.0,0.3125,0
0.2727272727272727,0.2772395453551784,0.0,0.0,0.1875,0
0.0,0.0,0.0,0.0,0.1875,0
0.0,0.0,0.0,0.0,0.25,0
0.0,0.0,0.0,0.0,0.25,0
0.0909090909090909,0.0875047742937373,0.0,0.0,0.125,0
0.0909090909090909,0.0759271971324483,0.0,0.0,0.1875,0
0.2,0.1190743002373921,0.0,0.0,0.25,0
0.0,0.0,0.0,0.0,0.375,0
0.0909090909090909,0.1111697371581795,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.125,0
0.0909090909090909,0.1055190296995834,0.0,0.0,0.3125,0
0.1538461538461538,0.1244025449529859,0.0,0.0,0.0,0
0.2,0.197131745054788,0.0,0.0,0.125,0
0.0714285714285714,0.0773919001302096,0.0,0.0,0.0625,0
0.1666666666666666,0.0977648148823385,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.5,0.3493432688609602,0.0,0.0,0.125,0
0.375,0.4197256431028942,0.0,0.0,0.125,0
0.125,0.0710047133288433,0.0,0.0,0.0625,0
0.125,0.0636524042087831,0.0,0.0,0.1875,0
0.125,0.1227234687523665,0.0,0.0,0.0,0
0.25,0.1328050931663206,0.0,0.0,0.0,0
0.25,0.1116878257301297,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0
0.25,0.1336654700033566,0.0,0.0,0.0,0
0.1333333333333333,0.1216520747256448,0.0,0.0,0.0,0
0.3157894736842105,0.3303127625072937,0.0,0.0,0.375,0
0.0,0.0,0.0,0.0,0.1875,0
0.5,0.2249841563630137,0.0,0.0,0.0625,0
0.2941176470588235,0.2209450290157757,0.0,0.0,0.0,0
0.2,0.0882076437885246,0.0,0.0,0.25,0
0.6666666666666666,0.4242276972145994,0.0,0.0,0.25,0
0.6666666666666666,0.500641509403876,0.0,0.0,0.0625,0
0.6666666666666666,0.500641509403876,0.0,0.0,0.0625,0
0.6666666666666666,0.5321236023417115,0.0,0.0,0.1875,0
0.3333333333333333,0.2142928060238513,0.0,0.0,0.3125,0
0.3333333333333333,0.2868551858654836,0.0,0.0,0.0625,0
0.25,0.0888905956098145,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0625,0
0.0,0.0,0.0,0.0,0.0,0
0.25,0.0690959905560413,0.0,0.0,0.125,0
0.0,0.0,0.0,0.0,0.125,0
0.1428571428571428,0.0911287756156668,0.0,0.0,0.375,0
0.1428571428571428,0.055559679308549,0.0,0.0,0.1875,0
0.2222222222222222,0.1419126293080453,0.0,0.0,0.1875,0
0.0833333333333333,0.0902759986236867,0.0,0.0,0.375,0
0.1666666666666666,0.1344041457551691,0.0,0.0,0.4375,0
0.25,0.1432186046806546,0.0,0.0,0.1875,0
0.0,0.0,0.0,0.0,0.125,0
0.0,0.0,0.0,0.0,0.0,0
0.4,0.2258181213311486,0.0,0.0,0.1875,0
0.125,0.0687536290283667,0.0,0.0,0.0,0
0.25,0.0766980785103966,0.0,0.0,0.0,0
0.1111111111111111,0.0454447903849494,0.0,0.0,0.125,0
0.5,0.1765445835434821,0.0,0.0,0.25,0
0.3333333333333333,0.2441826055729458,0.0,0.0,0.0,0
0.5,0.4952157612928222,0.0,0.0,0.0625,0
0.5,0.4952157612928222,0.0,0.0,0.5,0
0.25,0.199429558485416,0.0,0.0,0.0,0
0.75,0.5763274275045528,0.0,0.0,0.0625,0
1.0,0.7272336661522967,0.0,0.0,0.0,0
0.25,0.2669590460262022,0.0,0.0,0.125,0
0.125,0.0380206452140645,0.0,0.0,0.0,0
0.5,0.5908117845611981,0.0,0.0,0.3125,0
0.125,0.0987898267717708,0.0,0.0,0.3125,0
0.125,0.0587340249942761,0.0,0.0,0.1875,0
0.125,0.0607716408403269,0.0,0.0,0.3125,0
0.125,0.0617300910208975,0.0,0.0,0.25,0
0.0,0.0,0.0,0.0,0.0625,0
0.1111111111111111,0.0988691112575955,0.0,0.0,0.0625,0
0.4615384615384615,0.335880125915478,0.0,0.0,0.0,0
0.4615384615384615,0.335880125915478,0.0,0.0,0.0,0
0.8,0.6851076419758737,0.0,0.0,0.0625,0
0.2666666666666666,0.3511528719175869,0.0,0.0,0.0625,0
